Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
39,5220788034,Gronkowski69 (12/12),17.36,101.55,1B Jared Young 2B Jorge Polanco 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Max Kepler P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Rafael Flores Jr.,C,6.73%,2
40,5220778941,Jeter2333 (3/17),16.69,100.7,1B Jared Young 2B Jorge Polanco 3B Eugenio Suarez C Gabriel Moreno OF Ronald Acuna Jr. OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Jorge Polanco,3B,6.73%,5
40,5220785814,Jeter2333 (13/17),16.69,100.7,1B Jared Young 2B Jorge Polanco 3B Eugenio Suarez C Gabriel Moreno OF Ronald Acuna Jr. OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Eugenio Suarez,3B,6.57%,4
40,5220768734,renardcars (1/2),15.860001,100.7,1B Jared Young 2B Brett Baty 3B Nolan Arenado C James McCann OF Corbin Carroll OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Michael Toglia,1B,6.57%,0
43,5220770057,kyleorso (13/17),28.34,100.55,1B Charles McAdoo 2B Brett Baty 3B Nick Yorke C Drew Romo OF Fernando Tatis Jr. OF Corbin Carroll OF Esteury Ruiz P Dylan Cease P Eury Perez SS Elly De La Cruz,,Matt Olson,1B,6.57%,25
44,5220754395,poole071578,34.489998,100.4,1B Kyle Schwarber 2B Anthony Seigler 3B Charles McAdoo C Agustin Ramirez OF Fernando Tatis Jr. OF Kody Clemens OF Edmundo Sosa P Dylan Cease P Ryan Weathers SS Jared Triolo,,Josh Bell,1B,6.57%,5
45,5220751793,Wanna_Square_Up1567 (13/17),22.01,99.7,1B Tim Tawa 2B Ketel Marte 3B Javier Sanoja C Gabriel Moreno OF Corbin Carroll OF Kody Clemens OF Esteury Ruiz P Dylan Cease P Dean Kremer SS Geraldo Perdomo,,Elly De La Cruz,SS,6.23%,2
46,5220775457,renardcars (2/2),18.69,99.55,1B Abimelec Ortiz 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Daylen Lile OF Jacob Young OF Dominic Smith P Dylan Cease P Eury Perez SS CJ Abrams,,Royce Lewis,2B,6.23%,7
47,5220778942,Jeter2333 (4/17),18.52,98.7,1B Jared Young 2B Jorge Polanco 3B Nolan Arenado C Gabriel Moreno OF Byron Buxton OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Nolan Arenado,3B,6.23%,14
47,5220785808,Jeter2333 (7/17),18.52,98.7,1B Jared Young 2B Jorge Polanco 3B Nolan Arenado C Gabriel Moreno OF Byron Buxton OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Luis Robert Jr.,OF,6.23%,0
47,5220787950,Jeter2333 (16/17),18.52,98.7,1B Jared Young 2B Jorge Polanco 3B Nolan Arenado C Gabriel Moreno OF Byron Buxton OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Luis Arraez,2B,5.89%,0
50,5220788076,d9144 (12/12),41.68,98.6,1B Matt Olson 2B Jake Cronenworth 3B Manny Machado C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Ryan Weathers P Dean Kremer SS Xander Bogaerts,,Steven Kwan,OF,5.56%,0
51,5220778940,Jeter2333 (2/17),14.860001,98.5,1B Jared Young 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Tim Tawa P Dylan Cease P Nick Lodolo SS Francisco Lindor,,Kaelen Culpepper,SS,5.56%,2
51,5220785809,Jeter2333 (8/17),14.860001,98.5,1B Jared Young 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Tim Tawa P Dylan Cease P Nick Lodolo SS Francisco Lindor,,Sam Antonacci,2B,5.56%,6
51,5220787951,Jeter2333 (17/17),14.860001,98.5,1B Jared Young 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Tim Tawa P Dylan Cease P Nick Lodolo SS Francisco Lindor,,Dean Kremer,P,5.39%,21.45
54,5220764563,Fivecrossyolips,15.85,98.15,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Adley Rutschman OF Ronald Acuna Jr. OF Michael Harris II OF Heriberto Hernandez P Nick Lodolo P Jake Irvin SS Jose Caballero,,Jackson Merrill,OF,5.22%,0
55,5220755795,iceman1s1978,25.99,98.05,1B Royce Lewis 2B Brandon Lowe 3B Kazuma Okamoto C Alejandro Kirk OF Byron Buxton OF Bryan Reynolds OF Esmerlyn Valdez P Michael Soroka P Bryce Elder SS Kaelen Culpepper,,Tim Tawa,1B,5.22%,2
56,5220756160,Mackdawg44,31.32,97.55,1B Jared Young 2B Royce Lewis 3B Brooks Lee C Agustin Ramirez OF Byron Buxton OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Kaelen Culpepper,,Caleb Durbin,3B,5.22%,3
57,5220763801,srken,28.5,97.4,1B Ty France 2B Chase Meidroth 3B Colt Keith C Gabriel Moreno OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Ryan Weathers SS Kaelen Culpepper,,Brett Bateman,OF,5.05%,0
58,5220777409,Sasser7,30,96.95,1B Sal Stewart 2B Sam Antonacci 3B Brooks Lee C Keibert Ruiz OF Kody Clemens OF Daylen Lile OF Jackson Merrill P Eury Perez P Drew Anderson SS Francisco Lindor,,Abimelec Ortiz,1B,4.88%,14
