Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
39,5220756743,cha457 (5/17),0,141.55,1B Charles McAdoo 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Eury Perez SS Francisco Lindor,,Rafael Flores Jr.,C,6.73%,7
40,5220756751,cha457 (13/17),0,139.55,1B Abimelec Ortiz 2B Jorge Polanco 3B Bo Bichette C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Jakob Marsee P Dylan Cease P Eury Perez SS Otto Lopez,,Jorge Polanco,3B,6.73%,5
40,5220771999,WindCrest,0,139.55,1B Jared Young 2B Nick Sogard 3B Bryson Stott C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Francisco Lindor,,Eugenio Suarez,3B,6.57%,7
40,5220772582,iamtherealdraftking (1/3),0,139.55,1B Jared Young 2B Nick Sogard 3B Bryson Stott C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Francisco Lindor,,Michael Toglia,1B,6.57%,0
43,5220764889,iceberger4,0,139.5,1B Matt Olson 2B Luis Arraez 3B Alec Bohm C Agustin Ramirez OF Bryce Harper OF Esmerlyn Valdez OF Edmundo Sosa P Dylan Cease P Andrew Painter SS Brayan Rocchio,,Matt Olson,1B,6.57%,25
44,5220756754,cha457 (16/17),0,138.7,1B Bryce Harper 2B Jake Cronenworth 3B Leo Jimenez C Agustin Ramirez OF Corbin Carroll OF Esteury Ruiz OF Javier Sanoja P Dylan Cease P Christian Scott SS Otto Lopez,,Josh Bell,1B,6.57%,5
44,5220783061,Rallycap,0,138.7,1B Tim Tawa 2B Xavier Edwards 3B Javier Sanoja C Gabriel Moreno OF Corbin Carroll OF Heriberto Hernandez OF Max Kepler P Dylan Cease P Christian Scott SS Otto Lopez,,Elly De La Cruz,SS,6.23%,2
46,5220781944,jakethesnake83,0,138.6,1B Munetaka Murakami 2B Xavier Edwards 3B Bo Bichette C Agustin Ramirez OF Braden Montgomery OF Andrew Benintendi OF Javier Sanoja P Eury Perez P Ryan Weathers SS Francisco Lindor,,Royce Lewis,2B,6.23%,9
47,5220756160,Mackdawg44,0,138.55,1B Jared Young 2B Royce Lewis 3B Brooks Lee C Agustin Ramirez OF Byron Buxton OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Kaelen Culpepper,,Nolan Arenado,3B,6.23%,0
47,5220783145,UWAlums03 (2/2),0,138.55,1B Tim Tawa 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Luis Robert Jr.,OF,6.23%,3
