tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"English, Harris",14577,7200,0.0635,T64,0,0,0,0,49.5,0,49.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"McCarthy, Denny",19870,6200,0.0084,T59,0,0,0,0,48.5,0,48.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Clark, Wyndham",23604,6600,0.0108,T75,0,0,0,0,48.5,0,48.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Smith, Cameron",15856,8900,0.1633,T59,0,0,0,0,48.0,0,48.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hadwin, Adam",13965,6300,0.0043,T64,0,0,0,0,47.5,0,47.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Noren, Alex",10419,6600,0.0336,T55,0,3,0,0,43.5,0,46.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Lewis, Tom",15164,6400,0.0016,T71,0,0,0,0,44.5,0,44.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Henley, Russell",14578,7200,0.0227,T71,0,0,0,0,44.0,0,44.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Berger, Daniel",17606,8700,0.2442,T75,0,0,0,0,44.0,0,44.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Streb, Robert",14852,6200,0.001,T59,0,0,0,0,43.5,0,43.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Westwood, Lee",4052,7400,0.0242,T71,0,0,0,0,43.0,0,43.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hoge, Tom",15575,6700,0.0014,T64,0,0,0,0,42.0,0,42.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hojgaard, Rasmus",23838,6700,0.0008,79,0,0,0,0,40.5,0,40.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Watson, Bubba",7334,7500,0.0425,80,0,0,0,0,40.0,0,40.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Gay, Brian",5951,6200,0.0004,81,0,0,0,0,37.0,0,37.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Tringale, Cameron",14013,7100,0.0602,CUT,0,0,0,0,28.0,0,28.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Malnati, Peter",14926,6200,0.0018,CUT,0,0,0,0,27.0,0,27.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Rozner, Antoine",18770,6600,0.0038,CUT,0,0,0,0,25.5,0,25.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"McNealy, Maverick",18634,6500,0.0025,CUT,3,0,0,0,22.5,0,25.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Johnson, Zach",6986,6800,0.0095,CUT,0,0,0,0,25.0,0,25.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"van Rooyen, Erik",17550,6500,0.0026,CUT,0,0,0,0,24.5,0,24.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Scott, Adam",6430,7900,0.0504,CUT,0,0,0,0,24.0,0,24.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Swafford, Hudson",14706,6500,0.0004,CUT,0,0,0,0,23.5,0,23.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Johnson, Dustin",12422,10900,0.0831,CUT,0,0,0,0,23.5,0,23.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Garcia, Sergio",5689,7600,0.0253,CUT,0,0,0,0,23.0,0,23.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Ballo, Pete",28320,6000,0.0002,CUT,0,0,0,0,22.5,0,22.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Munoz, Sebastian",20770,6600,0.0076,CUT,0,0,0,0,22.0,0,22.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Leishman, Marc",7649,7600,0.1141,CUT,0,0,0,0,21.5,0,21.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Todd, Brendon",12425,6700,0.0128,CUT,0,0,0,0,21.5,0,21.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Perez, Victor",20730,6900,0.0068,CUT,0,0,0,0,21.0,0,21.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Beem, Rich",6301,6000,0.0014,CUT,0,0,0,0,21.0,0,21.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Frittelli, Dylan",11955,6500,0.007,CUT,0,0,0,0,21.0,0,21.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Thomas, Justin",14139,11300,0.1138,CUT,0,0,0,0,20.5,0,20.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Fleetwood, Tommy",12294,8200,0.0676,CUT,0,0,0,0,20.5,0,20.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Reavie, Chez",7961,6400,0.001,CUT,0,0,0,0,20.0,0,20.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Balin, Danny",14872,6000,0.0002,CUT,0,0,0,0,19.0,0,19.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Herman, Jim",12846,6100,0.0007,CUT,0,0,0,0,19.0,0,19.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Long, Adam",15473,6200,0.0019,CUT,0,0,0,0,18.5,0,18.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Homa, Max",17538,7300,0.0396,CUT,0,0,0,0,18.5,0,18.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Schauffele, Xander",19895,9600,0.233,CUT,0,0,0,0,18.5,0,18.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Harman, Brian",8825,7400,0.1065,CUT,0,0,0,0,18.0,0,18.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Dufner, Jason",7301,6300,0.0032,CUT,0,0,0,0,18.0,0,18.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hughes, Mackenzie",15556,6500,0.003,CUT,0,0,0,0,18.0,0,18.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kitayama, Kurt",21891,6600,0.0009,CUT,0,0,0,0,17.5,0,17.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Catlin, John",18524,6800,0.0019,CUT,0,0,0,0,17.5,0,17.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Sullivan, Andy",15326,6400,0.0029,CUT,0,0,0,0,17.0,0,17.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kirk, Chris",12423,7000,0.0461,CUT,0,0,0,0,16.5,0,16.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Valimaki, Sami",23816,6700,0.0005,CUT,0,0,0,0,16.5,0,16.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Coetzee, George",10884,6400,0.001,CUT,0,0,0,0,16.5,0,16.5
